name;address_country;address_city;address_full;contact_phone;contact_fax;contact_website;juridicInfos_nature;juridicInfos_creationYear;juridicInfos_juridicForm;juridicInfos_activity;juridicInfos_capital;juridicInfos_effectif;Logo_link;products_0;products_1;products_2;products_3;dirigeants_0_name;dirigeants_0_funtion;dirigeants_1_name;dirigeants_1_funtion;dirigeants_2_name;dirigeants_2_funtion;dirigeants_3_name;dirigeants_3_funtion;dirigeants_4_name;dirigeants_4_funtion;dirigeants_5_name;dirigeants_5_funtion;dirigeants_6_name;dirigeants_6_funtion;dirigeants_7_name;dirigeants_7_funtion;partner_0_name;partner_0_type;partner_1_name;partner_1_type;partner_2_name;partner_2_type;partner_3_name;partner_3_type;partner_4_name;partner_4_type;partner_5_name;partner_5_type;partner_6_name;partner_6_type;partner_7_name;partner_7_type;partner_8_name;partner_8_type;partner_9_name;partner_9_type;partner_10_name;partner_10_type
Tableau; États-Unis; Washington; NorthEdge 1621 N 34th St.Seattle, WA 98103; +1 206-633-3400;;https://www.tableau.com/fr-fr;Siège;2003; Société par actions et corporation;Visualisation de données, industrie du logiciel et report generator;;4181 (2019) ;http://www.mydral.com/wp-content/uploads/2019/02/Tableau-Logo-1.png;Tableau Desktop;Tableau Server;Tableau Prep Builder;Tableau Online;Mark Nelson;President and CEO;Dan Miller;Executive VP Sales, Services & Support;Jackie Yeaney;Executive VP, Marketing;Andrew Beers;Chief Technology Officer;Francois Ajenstat;Chief Product Officer;Michele Yetman;Executive VP, Human Resources;Jay Peir;Executive VP, Corporate Strategy;Tom Walker;Executive VP, Chief Operating Officer;ACTINVISION;;AE Business Solutions;;Affecto Oyj;;Alation, Inc.;;ANALYTIKA PLUS;;Arrow ECS Brasil;;ASTRAFOX SP Z O O;;Avaap;;Bechtle Logistik & Service GmbH;;Beinex Consulting DWC LLC;;Beinex Consulting Limited;
Microsoft Power BI; États-Unis; Washington; One Microsoft Way Redmond Washington 98052-6399 USA; (800) 426-9400; (425) 706-7329; https://powerbi.microsoft.com/fr-be/;Siège;2014;Société anonyme;;;166 175; https://cdn.icon-icons.com/icons2/2699/PNG/512/microsoft_powerbi_logo_icon_169958.png;Power BI Pro;Power BI Premium;Power BI Desktop;Power BI Report server;	Bill Gates;Fondateur;Paul Allen;Fondateur;Satya Nadella;Directeur;;;;;;;;;;;Cegeka NV;;Cloubis;;Codit;;Ordina;;Delaware Consulting;;element61;;Altran SA/NV;;KPMG Lighthouse;;Ad Ultima Group;;RealDolmen;;Firmware;
Infor; États-Unis; New York; 641 Avenue of the Americas New York, NY 10011; +1 46-336-1700;;https://www.infor.com/;Siège;2002;Corporation;Informatique;;16 000 (2017); https://webassets.infor.com/images/multi-page/infor-facebook-752x514.png;Infor Birst;Infor Coleman;Infor CRM;Infor CPQ;Kevin Samuelson;CEO;Charles Phillips;président du conseil d'administration;;;;;;;;;;;;;21Tech;;Accenture Japan Ltd アクセンチュア株式会社;;Advanced Computer Technology (ACT);;Ally Consulting S.r.l.;;Analytics8;;AS infotrack AG;;Athentis Consulting;;Avolve Software;;BARRACUDA SOFTWARE;;Birlasoft;;BPX S.A.;
Alibaba Cloud; China; Yu Hang District; 969 West Wen Yi Road, Yu Hang District, China;;;https://www.alibabacloud.com/fr;Siège;2009;SARL;Cloud computing;;1001-5000; https://www.evagroup.fr/wp-content/uploads/2018/10/alibaba-cloud-logo-898D58C1CE-seeklogo.com_.png;PolarDB;VPN Gateway;Alibaba Cloud CDN;ApsaraDB for MyBase;Dr. Wang Jian;Founder;Daniel Zhang;CEO;;;;;;;;;;;;;Blue Power Technology;;Digicentre;;Icon Business Systems Ltd.;;INDOINTERNET;;Microfusion Technology;;NC Services;;SUNTHY CLOUD TECHNICAL LIMITED;;Automated Systems (H.K.) Limited;;Bankware Global;;FUJIFILM CodeBlue;;Fujitsu (China) Holdings;
Sisense; États-Unis; New York; 1359 Broadway, 4th Floor, New York, NY, 10018, United States; +1-212- 608-4041;;https://www.sisense.com/;Siège;2004;;Business intelligence, AI-driven analytics, software company;;+800; https://upload.wikimedia.org/wikipedia/commons/a/a2/Sisense_Logo_New.jpg;Sisense Fusion;;;;Elad Israeli;Founder;Eldad Farkash;Founder;Aviad Harell;Founder;Guy Boyangu;Founder;Adi Azaria;Founder;Amir Orad;CEO;;;;;Analytics8 ;;Arq Group ;;Ayantek, LLC ;;BitBang ;;BlueMetrics ;;Business Wise Solutions Ltd ;;CAUSE + EFFECT Strategy ;;Ciklum ;;COMTURE CORPORATION ;;D.A. Team ;;Dataflix Inc.;
MicroStrategy; États-Unis; Virginie; 1850 Towers Crescent Plaza Tysons Corner, VA 22182 USA; +1 703-848-8600;;https://www.microstrategy.com/;Siège;1989;Société anonyme;Business Intelligence;;3069; https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/MicroStrategy_logo.svg/1280px-MicroStrategy_logo.svg.png;MicroStrategy 9;MicroStrategy Mobile;;;Michael Saylor;PDG;;;;;;;;;;;;;;;3S Soft Co., Ltd;;Perficient ;;Tata Consultancy Services;;Northstrat;;Aynitech;;Salux Informatização em Saúde;;Cradle Systems;;EPAM Systems;;M3bi, LLC;;Index Analytics;;The HADA Group;
ThoughtSpot; États-Unis; Californie; 910 Hermosa Ct, Sunnyvale, CA 94085, États-Unis; +1 800-508-7008;;https://www.thoughtspot.com;Siège;2012;;Analytics, Business intelligence;;580; https://upload.wikimedia.org/wikipedia/commons/e/eb/ThoughtSpot_logo_2019.png;;;;;Ajeet Singh;Founder and Chairman;Amit Prakash;Founder and CTO;Sudheesh Nair;CEO;Mohit Daswani;CFO;;;;;;;;;ADASTRA;;AE Business Solutions;;ARQ Group;;AWS;;Accenture;;Aginic;;Allegro Business Intelligence;;Alteryx;;Analytics8;;Aosis;;Appstract;
Board; États-Unis; Massachusetts; 18 Tremont Street, Floor 7 Boston, MA 02108; +1 6172032173;;https://www.board.com;Siège;1994;Société anonyme;Business Intelligence, Corporate Performance Management, Software;;501-1000; https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Board_International_logo.svg/1200px-Board_International_logo.svg.png;Board 11;;;;Giovanni Grossi;Founder and CEO;Andrea de Grenet;CFO;Pietro Ferrari;CTO;;;;;;;;;;;Microsoft Azure - Cloud computing infrastructure;;SAP - SAP ERP, SAP BW, SAP HANA;;Mobile Iron - Enterprise Mobile Device Management (MDM) platform;;Microsofot GOLD patner - Cloud Gold Application Development;;HP Vertica - SQL Database platform for big data analytics;;Exasol - MPP in-memory database for analytics;;Progress - Cloud data integration;;Fujitsu - XBRL processing capabilities;
Tibco Software; États-Unis; Californie; Palo Alto, Californie, États-Unis; +1 650 846 1000;;https://www.tibco.com;Siège;1997;Société anonyme avec appel public à l'épargne;Industrie du logiciel;;4200; https://upload.wikimedia.org/wikipedia/commons/3/3a/Tibco_logo-_Palo_Alto%2C_CA_company-_%28PNG%29_2013-11-24_16-00.png;ActiveMatrix;BusinessEvents;Collaborative Information Manager;Rendezvous;Vivek Ranadivé;Founder;Dan Streetman;CEO;Tom Berquist;CFO;Nelson Petracek;CTO;;;;;;;;;3K Technologies;;ACCEL BI;;Accenture;;Acuma Solutions Ltd.;;Alldatum;;Alpha Stream;;Alternative Solutions;;Altia SA;;AN Info Systems;;Ansera;;AOT Technologies;
YellowFin; Australia; Melbourne; Level 11473 Bourke St Melbourne VIC 3000 Australia; +61 3 8593 8938;;https://www.yellowfinbi.com/;Siège;2003;;Business Intelligence and analytics software;;101-250; https://yellowfin-cdn.yellowfinbi.com/assets/files/2018/02/SoMe_Branding-Blog.jpg;;;;;Glen Rabie;Founder and CEO;Keith Bold;CFO;Brad Scarff;CTO;;;;;;;;;;;4toangulo;;Advanced Data Tools;;AlterPoint;;Arris Technologies;;Arunam Technologies;;ASA Auto;;Ascent 360;;Auto-IT;;Blacklight Solutions;;Cerulium;;Column Technologies;
